Month,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,Age_Group
Aug,Saturday,Honda,Urban,Monday,Aug,Female,Widow,59,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3,400,4,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Mar,Saturday,Honda,Urban,Monday,Mar,Male,Single,39,Third Party,Sedan - Liability,Sport,more than 69000,0,16,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Sunday,Pontiac,Urban,Friday,Feb,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Thursday,Honda,Urban,Monday,Mar,Male,Single,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8,400,3,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Sunday,Honda,Urban,Monday,Mar,Male,Married,60,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2,400,1,more than 30,more than 30,none,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
Feb,Tuesday,Pontiac,Urban,Tuesday,Feb,Female,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,Liability,Adult
Mar,Wednesday,Mazda,Urban,Friday,Apr,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Mar,Thursday,Honda,Urban,Thursday,Apr,Male,Married,33,Policy Holder,Sport - Collision,Sport,more than 69000,0,1,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Feb,Thursday,Chevrolet,Urban,Wednesday,Mar,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
Mar,Wednesday,Honda,Rural,Tuesday,Jun,Male,Single,21,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,All Perils,Young
Mar,Tuesday,Accura,Urban,Friday,Mar,Male,Married,62,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,12,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,Senior
Jun,Tuesday,Pontiac,Urban,Wednesday,Jun,Male,Married,62,Policy Holder,Utility - All Perils,Utility,more than 69000,0,12,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,Senior
Dec,Thursday,Mazda,Urban,Saturday,Jan,Female,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Aug,Wednesday,Pontiac,Urban,Friday,Aug,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Mar,Wednesday,Saab,Urban,Thursday,Mar,Male,Married,47,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,5,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Mar,Monday,Pontiac,Urban,Tuesday,Mar,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,6,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Apr,Friday,Mazda,Urban,Monday,May,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jun,Saturday,Chevrolet,Urban,Thursday,Jun,Male,Married,61,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,All Perils,Senior
May,Wednesday,Honda,Urban,Wednesday,Jun,Male,Single,33,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Apr,Friday,Accura,Urban,Monday,May,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jun,Monday,Toyota,Urban,Tuesday,Jun,Male,Single,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jun,Sunday,Pontiac,Urban,Wednesday,Jun,Male,Married,64,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Liability,Senior
Jul,Friday,Honda,Urban,Tuesday,Jul,Male,Married,55,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,2,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jul,Wednesday,Pontiac,Urban,Friday,Jul,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,Liability,Adult
Jun,Saturday,Toyota,Urban,Wednesday,Jul,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Aug,Tuesday,Pontiac,Urban,Tuesday,Aug,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jul,Saturday,Honda,Urban,Monday,Jul,Male,Married,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,4 to 8 years,2 vehicles,Collision,Young
Oct,Thursday,Mazda,Urban,Wednesday,Oct,Female,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Oct,Thursday,Honda,Urban,Friday,Oct,Male,Married,41,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,7,700,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Apr,Monday,Chevrolet,Urban,Monday,Apr,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Jun,Tuesday,Pontiac,Urban,Monday,Jun,Female,Single,24,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,4,more than 30,more than 30,none,3 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,All Perils,Young
Apr,Saturday,Mazda,Urban,Wednesday,Jul,Male,Married,64,Policy Holder,Sport - Collision,Sport,more than 69000,0,5,400,1,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,Collision,Senior
Jun,Friday,Honda,Urban,Friday,Jul,Male,Married,56,Policy Holder,Sport - Collision,Sport,more than 69000,0,11,500,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,2 to 3 years,1 vehicle,Collision,Middle Age
Nov,Saturday,Toyota,Urban,Monday,Nov,Male,Married,61,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,Senior
Oct,Saturday,Pontiac,Urban,Thursday,Nov,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Oct,Thursday,Mazda,Urban,Thursday,Oct,Male,Single,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Aug,Saturday,Mazda,Urban,Friday,Aug,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,5,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Jul,Monday,Chevrolet,Urban,Tuesday,Jul,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jul,Friday,Mazda,Urban,Tuesday,Jul,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jun,Wednesday,Mazda,Urban,Thursday,Jun,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,16,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Mar,Sunday,Pontiac,Urban,Wednesday,Mar,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,7,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Mar,Friday,Pontiac,Urban,Wednesday,Mar,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,0,15,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Mar,Tuesday,Toyota,Urban,Saturday,Mar,Male,Single,20,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,5,400,3,more than 30,more than 30,more than 4,4 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,All Perils,Young
Jun,Sunday,Accura,Urban,Wednesday,Jun,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,11,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Oct,Tuesday,Honda,Urban,Monday,Nov,Male,Married,63,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,Senior
Oct,Tuesday,Mazda,Urban,Thursday,Oct,Male,Married,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Oct,Wednesday,Toyota,Urban,Friday,Oct,Male,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Sep,Saturday,Pontiac,Urban,Thursday,Oct,Male,Married,42,Third Party,Sedan - Collision,Sedan,less than 20000,0,2,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,Collision,Middle Age
Jul,Friday,Accura,Urban,Tuesday,Jul,Female,Divorced,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Jun,Saturday,Chevrolet,Urban,Wednesday,Jun,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
May,Monday,Accura,Urban,Monday,Jun,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,5,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
May,Sunday,Honda,Urban,Wednesday,Jun,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Apr,Friday,Pontiac,Rural,Monday,Apr,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Apr,Monday,Saab,Urban,Tuesday,Apr,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Apr,Wednesday,Toyota,Urban,Monday,Apr,Male,Single,30,Third Party,Sedan - Liability,Sport,30000 to 39000,0,12,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,1 year,1 vehicle,Liability,Adult
Nov,Friday,Toyota,Urban,Monday,Nov,Male,Married,51,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,12,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jun,Tuesday,Mazda,Urban,Tuesday,Jun,Female,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Jun,Monday,Toyota,Urban,Monday,Jun,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,8,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Apr,Wednesday,Pontiac,Urban,Tuesday,Apr,Male,Single,34,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3,400,2,8 to 15,15 to 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Mar,Monday,Dodge,Urban,Wednesday,Sep,Male,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3,700,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Mar,Saturday,Chevrolet,Urban,Monday,Mar,Male,Married,54,Policy Holder,Utility - All Perils,Utility,more than 69000,0,11,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Mar,Thursday,Mazda,Urban,Friday,Mar,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Jun,Monday,Pontiac,Urban,Thursday,Jun,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,13,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Jun,Monday,VW,Urban,Wednesday,Jun,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,7,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,All Perils,Senior
Mar,Friday,Chevrolet,Urban,Tuesday,Mar,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,3 to 4,Collision,Adult
Jul,Wednesday,Toyota,Urban,Monday,Jul,Male,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,Collision,Young
Aug,Monday,Mazda,Urban,Wednesday,Aug,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Nov,Thursday,Pontiac,Urban,Friday,Nov,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,All Perils,Senior
Nov,Monday,Honda,Urban,Monday,Nov,Female,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Collision,Adult
Dec,Thursday,Pontiac,Rural,Wednesday,Dec,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,7,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
May,Thursday,Toyota,Urban,Friday,May,Male,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Liability,Middle Age
Jun,Sunday,Toyota,Urban,Monday,Jun,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Aug,Wednesday,Pontiac,Urban,Wednesday,Aug,Female,Single,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Aug,Saturday,Chevrolet,Urban,Monday,Aug,Female,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12,400,1,more than 30,more than 30,none,5 years,31 to 35,Yes,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Aug,Monday,Pontiac,Urban,Monday,Aug,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Sep,Saturday,Pontiac,Urban,Thursday,Sep,Female,Married,42,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Oct,Tuesday,Toyota,Urban,Friday,Oct,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,13,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Nov,Friday,Honda,Urban,Tuesday,Nov,Female,Married,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Nov,Saturday,VW,Urban,Wednesday,Nov,Male,Married,80,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,Liability,Senior
Nov,Sunday,Toyota,Urban,Monday,Nov,Male,Single,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Nov,Thursday,Honda,Urban,Thursday,Dec,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
Nov,Wednesday,Dodge,Urban,Thursday,Nov,Male,Divorced,52,Policy Holder,Sedan - Liability,Sport,60000 to 69000,0,14,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Dec,Thursday,Pontiac,Urban,Monday,Dec,Male,Single,48,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,16,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Dec,Sunday,Mazda,Urban,Thursday,Dec,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3,500,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,Collision,Adult
Dec,Tuesday,Chevrolet,Urban,Thursday,Dec,Female,Single,26,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Nov,Thursday,Pontiac,Urban,Monday,Nov,Female,Widow,34,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Oct,Tuesday,Pontiac,Urban,Thursday,Oct,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Oct,Wednesday,Toyota,Urban,Wednesday,Oct,Male,Married,65,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1,400,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,Liability,Senior
Sep,Tuesday,Honda,Urban,Wednesday,Sep,Male,Married,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jun,Tuesday,Honda,Urban,Friday,Jul,Male,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Liability,Adult
Sep,Thursday,Pontiac,Urban,Thursday,Sep,Male,Married,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2,700,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Aug,Wednesday,Pontiac,Urban,Friday,Sep,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Aug,Wednesday,Chevrolet,Urban,Thursday,Aug,Female,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,Internal,more than 5,no change,1 vehicle,Collision,Adult
Jun,Wednesday,Toyota,Urban,Tuesday,Jun,Male,Single,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Aug,Thursday,Toyota,Urban,Wednesday,Aug,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Aug,Friday,VW,Urban,Thursday,Aug,Male,Married,27,Third Party,Sedan - All Perils,Sedan,more than 69000,0,9,400,1,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Mar,Thursday,Pontiac,Urban,Monday,Apr,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Mar,Tuesday,Honda,Urban,Friday,Mar,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Feb,Saturday,Pontiac,Urban,Tuesday,Mar,Male,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Dec,Sunday,Mazda,Urban,Monday,Dec,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Dec,Wednesday,Mazda,Urban,Monday,Feb,Female,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13,400,2,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Dec,Tuesday,Ford,Urban,Tuesday,Dec,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,16,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Nov,Monday,Honda,Urban,Monday,Nov,Male,Single,38,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Nov,Monday,Accura,Urban,Wednesday,Nov,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,Middle Age
Nov,Thursday,Mazda,Urban,Monday,Nov,Male,Married,44,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,15,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Jul,Thursday,Pontiac,Urban,Friday,Jul,Male,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,3 to 4,Collision,Adult
Jul,Thursday,Toyota,Urban,Friday,Jul,Female,Single,57,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Feb,Monday,Accura,Urban,Tuesday,Feb,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Jan,Saturday,Chevrolet,Urban,Tuesday,Feb,Male,Single,68,Third Party,Sedan - All Perils,Sedan,more than 69000,0,5,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,All Perils,Senior
Jan,Friday,Toyota,Rural,Monday,Jan,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
